标题,编号,商家,单价不含税,品名,单位,品牌,规格,发货仓,等级,起售量,联系电话,运费,库存量,图片1,图片2,图片3,页面网址,产品详情
上海八臻／perfect/阔叶黄檀/6x6 7x7 9x9 10x10 12x12,20180408001,上海八臻国际贸易有限公司,8000,阔叶黄檀/印尼黑酸枝（国标）,立方,perfect,6x6/7x7/9x9/10x10/12x12,上海福人,A+,20,13901683306,自负,30,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgtKyn1gUom5uz3QUwuAg4gA8!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgu6yn1gUovO3E0gUwuAg4oAs!60x60.jpg,,http://market.anywood.com/h-pd-367.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：阔叶黄檀/印尼黑酸枝（国标）品牌：perfect产地：印尼等级：A+规格：6x6/7x7/10x10/12x12加工工艺：未烘干单价/不含税：￥8000单位：立方米起售量：20立方库存量：30立方到港时间：已到存储仓库：上海福人商家：上海八臻国际贸易有限公司仓库地址：福人联系人王女士联系电话：13901683306备注：商品价格为仓库价批量起售p.p1 {margin: 0.0px 0.0px 0.0px 0.0px; font: 12.0px Helvetica; color: #797979}
瓦努阿图自然林业/VANUATU/印度紫檀香花梨／30CM*200CM,20180206001,瓦努阿图自然林业有限公司,8000,印度紫檀香花梨,吨,VANUATU,30CM*200CM,张家港心作仓库,A,1,13165173168,不含,20,http://4107619.s21i.faiusr.com/2/ABUIABACGAAghq7l0wUo1KnDsAYwwBk4kBM!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgja7l0wUo0ZeXnwYw2AQ4oAY!60x60.jpg,,http://market.anywood.com/h-pd-366.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：印度紫檀香花梨品牌：VANUATU产地：瓦努阿图等级：A规格：30CM*200CM加工工艺：烘干单价/不含税：￥ 8000单位：吨起售量：1 吨库存量： 20吨到港时间：2017年11月商家：瓦努阿图自然林业有限公司存储仓库：张家港心作仓库仓库地址：张家港心作市场补充描述：室内仓库存放，品质上乘，结疤少交手条件：按吨计价，一吨起售联系人：李亭联系电话：13165173168备注： 商品价格为提货价，不含税不含运费
上海八臻／perfect/印度紫檀/1.3 2.5 4.5 5.0,20180130001,上海八臻国际贸易有限公司,8000,印度紫檀／南洋花梨,立方,perfect,1.3/2.5/4.5/5.0,上海福人,A+,20,13901683306,不含,100,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgnpnA0wUo0K7TggIwiAg4hgY!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgqZnA0wUo2MydqwMwuAg4oAs!60x60.jpg,,http://market.anywood.com/h-pd-365.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：印度紫檀/南洋花梨品牌：perfect产地：印尼等级：A+规格：1.3/2.5/4.5/5.0加工工艺：未烘干单价/不含税：￥8000单位：立方米起售量：20立方库存量：100立方到港时间：已到存储仓库：上海福人商家：上海八臻国际贸易有限公司仓库地址：福人联系人王女士联系电话：13901683306备注：商品价格为仓库价批量起售
上海八臻/perfect/印尼柚木/3.3 4.3 5.3 6.3,20180108001,上海八臻国际贸易有限公司,8000,印尼柚木,立方,perfect,3.3 4.3 5.3 6.3,上海福人,A+,20,13901683306,不含,100,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgot3L0gUo3qO9lwMwuAg4oAs!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgqN3L0gUouv-PqwcwuAg4oAs!60x60.jpg,,http://market.anywood.com/h-pd-364.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：印尼柚木品牌：perfect产地：印尼等级：A+规格：3.34.3 5.3 6.3加工工艺：未烘干单价/不含税：￥ 8000单位：立方米起售量： 20立方库存量： 100立方到港时间：已到存储仓库：上海福人商家：上海八臻国际贸易有限公司仓库地址：福人联系人：王女士联系电话：13901683306备注： 商品价格为仓库价批量起售
泰兴巴洛克／BAROQUESTYLE／花纹小提琴底板料／40*11.5*4.5,20170919004,泰兴巴洛克木业有限公司,188,花纹小提琴底板料，高级欧洲小提琴背板,块,BAROQUESTYLE,4月4日,泰兴巴洛克仓库,A,10,15951172258,不含,1500,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg1q2DzgUot6HmjAcwbzg-!60x60.png,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg2K2DzgUou-iQ-gQwcTjIAQ!60x60.png,,http://market.anywood.com/h-pd-361.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：花纹小提琴底板料，高级欧洲小提琴背板品牌：BAROQUESTYLE产地：SARBIAN等级：A级规格：4/4加工工艺：普及单价/不含税：￥ 188.00单位：块起售量： 10库存量： 1500到港时间：201708s商家：泰兴巴洛克木业有限公司存储仓库：泰兴巴洛克仓库仓库地址：江苏省泰州市泰兴市姚王镇补充描述：欧洲巴尔干山脉的枫木，（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，没有结巴，质地上乘。（3）包装情况：每包100片，每块尺寸：40*11.5*4.5厘米，每包100块交手条件：现金交易，按包出售，按方计价，1包起售 联系人：翁亚彬联系电话：15951172258备注： 微信号：15951172258，QQ号：2398299453 ? 商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
泰兴巴洛克／BAROQUESTYLE／榉木 欧洲榉木 橡木／40*11.5*4.5,20170919005,泰兴巴洛克木业有限公司,5600,榉木，欧州榉木，橡木,立方,BAROQUESTYLE,正常,泰兴巴洛克仓库,A,10,15951172258,不含,380,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg9bKDzgUo2KTxoQQwdThX!60x60.png,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg97KDzgUoqvSanAUwdTjRAQ!60x60.png,,http://market.anywood.com/h-pd-362.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：榉木，欧州榉木，橡木品牌：BAROQUESTYLE产地：SARBIAN等级：A级规格：正常加工工艺：普及单价/不含税：￥ 5600.00单位：立方米起售量： 10库存量： 380到港时间：201708商家：泰兴巴洛克木业有限公司存储仓库：泰兴巴洛克仓库仓库地址：江苏省泰州市泰兴市姚王镇补充描述：欧洲巴尔干山脉的榉木和橡木，（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，没有结巴，质地上乘。（3）包装情况：每包100片，每块尺寸：40*11.5*4.5厘米，每包100块交手条件：现金交易，按包出售，按方计价，1包起售 联系人：翁亚彬联系电话：15951172258备注： 微信号：15951172258，QQ号：2398299453 ? 商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
泰兴巴洛克/BAROQUESTYLE/小提琴底板料/40*11.5*4.5,20170919001,泰兴巴洛克木业有限公司,28,小提琴底板料，欧洲小提琴背板,块,BAROQUESTYLE,4月4日,泰兴巴洛克仓库,A,10,15951172258,不含,38000,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg06GDzgUowOH8nAMwdTicAQ!60x60.png,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg3KGDzgUon7bApQIwdTicAQ!60x60.png,,http://market.anywood.com/h-pd-358.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,商家：泰兴巴洛克木业有限公司品名：小提琴底板料，欧洲小提琴背板品牌：BAROQUESTYLE产地：SARBIAN等级: A级规格：4/4加工工艺：普及单价/不含税：￥ 28.00单位：块起售量： 10库存量： 38000到港时间：201708存储仓库：泰兴巴洛克仓库仓库地址：江苏省泰州市泰兴市姚王镇商家名称：泰兴巴洛克木业有限公司补充描述：欧洲巴尔干山脉的枫木，（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，没有结巴，质地上乘。（3）包装情况：每包100片，每块尺寸：40*11.5*4.5厘米，每包100块交手条件：现金交易，按包出售，按方计价，1包起售 联系人：翁亚彬联系电话：15951172258备注： 微信号：15951172258，QQ号：2398299453 ? 商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
丰厚木业/第伦桃原木土料工程首选/A级,20170608002,张家港丰厚木业,1200,第伦桃原木土料工程首选,立方,进口,70,张家港市港务局,A,30,15150227858,,2000,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg7tLjyQUouIHkMTD4BjiqBA!60x60.png,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAgg9PjyQUojLy3vgUw4QY4iQU!60x60.png,,http://market.anywood.com/h-pd-357.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,商家：张家港市金港镇港区丰厚木业经营部品名：第伦桃原木土料工程首选 ? ? ? ? ? 品牌：进口产地：所罗门-巴新等级：A规格：70左右加工工艺：原木到港时间：2017年6月存储仓库：张家港市港务局仓库地址：张家港金港镇港区香山北路丰厚木业补充描述：精品原木交手条件：按方出售-联系人：周经理联系电话：1515022 7858备注： 因木材价格时时变动，请咨询：电话/微信 151-5022-7858
丰厚木业/红R/黄芸香/A级,20170608001,张家港丰厚木业,2000,黄芸香-黄云香 黄柏木,立方,红R,70,张家港市港务局,A,30,15150227858,,2000,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAgoczjyQUo4Iy65AQwlgU4lgU!60x60.png,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAgp8zjyQUo6JGg8wcw4QY4igQ!60x60.png,,http://market.anywood.com/h-pd-355.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,商家：张家港市金港镇港区丰厚木业经营部品名：黄芸香-黄云香黄柏木 ? ? ? ? 品牌：红R 产地：刚果-赤几-喀麦隆 ? ?等级：A规格：70左右加工工艺：原木到港时间：2017年6月存储仓库：张家港市港务局仓库地址：张家港金港镇港区香山北路丰厚木业补充描述：精品原木交手条件：按方出售-联系人：周经理联系电话：1515022 7858备注： 因木材价格时时变动，请咨询：电话/微信 151-5022-7858
丰厚木业/红R/红花梨原木/A级,20170607002,张家港丰厚木业,3300,红花梨原木,立方,红R,70,张家港市港务局,A,30,15150227858,,2000,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg0Y3fyQUo1KLs9wYwxQQ46AI!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg1o3fyQUoyab1iAYwxQQ4nAM!60x60.jpg,,http://market.anywood.com/h-pd-354.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,商家：张家港市金港镇港区丰厚木业经营部品名：红花梨原木 ? ? ? ?品牌：红R 产地：刚果-赤几-喀麦隆 ? ?等级：A规格：70左右加工工艺：原木到港时间：2017年6月存储仓库：张家港市港务局仓库地址：张家港金港镇港区香山北路丰厚木业补充描述：精品原木交手条件：按方出售-联系人：周经理联系电话：1515022 7858备注： 因木材价格时时变动，请咨询：电话/微信 151-5022-7858
